Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Team,Weight,BMI,PTSPM,FGMPM,FGAPM,TPMPM,TPAPM,DREBPM,ASTPM,STLPM,BLKPM,OREBPM,Pos
Alexey Shved,42,767,434,133,335,39.7,47,139,33.8,121,150,80.7,23,76,99,106,30,6,48,48,396,2.21,0.63,27,ru,12/16/88,,2,195,NYK,85.5,22.4852071,0.566,0.173,0.437,0.061,0.181,0.099,0.138,0.039,0.008,0.03,SG
Alexis Ajinca,68,957,443,181,329,55,0,0,0,81,99,81.8,104,211,315,47,21,51,69,151,642,0.68,0.3,27,fr,5/6/88,,4,215,NOH,111.6,24.14277988,0.463,0.189,0.344,0,0,0.22,0.049,0.022,0.053,0.109,C
Al-Farouq Aminu,74,1366,412,147,357,41.2,34,124,27.4,84,118,71.2,114,228,342,59,70,62,55,137,646,1.07,1.27,25,us,9/21/90,Wake Forest University,4,202.5,DAL,99,24.14266118,0.302,0.108,0.261,0.025,0.091,0.167,0.043,0.051,0.045,0.083,SF
Allen Crabbe,51,683,168,63,153,41.2,30,85,35.3,12,16,75,7,66,73,39,19,15,15,74,205,2.6,1.27,23,us,4/9/92,University of California,1,195,POR,94.5,24.85207101,0.246,0.092,0.224,0.044,0.124,0.097,0.057,0.028,0.022,0.01,SG
Alonzo Gee,54,661,241,87,186,46.8,13,35,37.1,54,77,70.1,37,57,94,25,35,7,33,58,247,0.76,1.06,28,us,5/29/87,University of Alabama,5,195,POR,101.25,26.62721893,0.365,0.132,0.281,0.02,0.053,0.086,0.038,0.053,0.011,0.056,SF
Amar'e Stoudemire,59,1244,680,273,490,55.7,0,4,0,134,186,72,110,219,329,45,29,38,78,161,774,0.58,0.37,,,,,,,,,,0.547,0.219,0.394,0,0.003,0.176,0.036,0.023,0.031,0.088,
Amir Johnson,75,1979,694,298,519,57.4,19,46,41.3,79,129,61.2,159,297,456,117,44,59,110,225,989,1.06,0.4,28,us,5/1/87,,9,202.5,TOR,108,26.33744856,0.351,0.151,0.262,0.01,0.023,0.15,0.059,0.022,0.03,0.08,PF
Anderson Varejao,26,636,255,111,200,55.5,0,2,0,33,45,73.3,57,113,170,35,19,16,35,58,359,1,0.54,,,,,,,,,,0.401,0.175,0.314,0,0.003,0.178,0.055,0.03,0.025,0.09,
Andre Dawkins,4,22,3,1,6,16.7,1,6,16.7,0,0,0,0,2,2,1,0,0,1,3,0,1,0,24,us,9/19/91,Duke University,0,192.5,MIA,96.75,26.10895598,0.136,0.045,0.273,0.045,0.273,0.091,0.045,0,0,0,SG
Andre Drummond,82,2502,1130,494,961,51.4,0,2,0,142,365,38.9,437,667,1104,55,73,153,120,285,1705,0.46,0.61,22,us,8/10/93,University of Connecticut,2,207.5,DET,125.55,29.15952969,0.452,0.197,0.384,0,0.001,0.267,0.022,0.029,0.061,0.175,C
Andre Iguodala,77,2069,604,231,496,46.6,74,212,34.9,68,114,59.6,44,213,257,228,89,25,88,100,804,2.59,1.01,31,us,1/28/84,University of Arizona,10,195,GSW,96.75,25.44378698,0.292,0.112,0.24,0.036,0.102,0.103,0.11,0.043,0.012,0.021,SF
Andre Miller,81,1253,355,145,290,50,7,34,20.6,58,77,75.3,37,116,153,284,32,6,104,103,562,2.73,0.31,39,us,3/19/76,University of Utah,15,187.5,WAS,90,25.6,0.283,0.116,0.231,0.006,0.027,0.093,0.227,0.026,0.005,0.03,PG
Andre Roberson,67,1286,228,92,201,45.8,21,85,24.7,23,48,47.9,60,195,255,70,53,29,46,141,455,1.52,1.15,24,us,12/4/91,University of Colorado,1,197.5,OKC,94.5,24.22688672,0.177,0.072,0.156,0.016,0.066,0.152,0.054,0.041,0.023,0.047,SG
Andrea Bargnani,29,785,430,164,361,45.4,15,41,36.6,87,107,81.3,32,95,127,46,2,27,42,53,373,1.1,0.05,30,it,10/26/85,,8,210,NYK,110.25,25,0.548,0.209,0.46,0.019,0.052,0.121,0.059,0.003,0.034,0.041,C
Andrei Kirilenko,7,36,3,0,5,0,0,0,0,3,4,75,2,6,8,1,1,0,1,1,6,1,1,34,ru,2/18/81,,12,202.5,NJN,99,24.14266118,0.083,0,0.139,0,0,0.167,0.028,0.028,0,0.056,SF
Andrew Bogut,67,1583,422,200,355,56.3,0,0,0,22,42,52.4,141,402,543,180,39,113,106,188,1016,1.7,0.37,31,au,11/28/84,University of Utah,9,210,GSW,117,26.53061224,0.267,0.126,0.224,0,0,0.254,0.114,0.025,0.071,0.089,C
Andrew Nicholson,40,492,194,83,190,43.7,13,41,31.7,15,25,60,17,65,82,22,6,12,24,51,175,0.92,0.25,26,ca,12/8/89,St. Bonaventure University,2,202.5,ORL,112.5,27.43484225,0.394,0.169,0.386,0.026,0.083,0.132,0.045,0.012,0.024,0.035,PF
Andrew Wiggins,82,2969,1387,497,1137,43.7,39,126,31,354,466,76,134,240,374,170,86,50,177,190,1138,0.96,0.49,,,,,,,,,,0.467,0.167,0.383,0.013,0.042,0.081,0.057,0.029,0.017,0.045,
Anthony Bennett,57,894,298,125,297,42.1,7,23,30.4,41,64,64.1,52,164,216,48,27,16,36,87,374,1.33,0.75,22,ca,3/14/93,"University of Nevada, Las Vegas",1,200,MIN,110.25,27.5625,0.333,0.14,0.332,0.008,0.026,0.183,0.054,0.03,0.018,0.058,PF
Anthony Davis,68,2455,1656,642,1199,53.5,1,12,8.3,371,461,80.5,173,523,696,149,100,200,95,141,2059,1.57,1.05,22,us,3/11/93,University of Kentucky,2,205,NOH,113.85,27.09101725,0.675,0.262,0.488,0,0.005,0.213,0.061,0.041,0.081,0.07,PF
Anthony Morrow,74,1806,790,285,615,46.3,141,325,43.4,79,89,88.8,40,155,195,60,54,11,38,135,732,1.58,1.42,30,us,9/27/85,Georgia Institute of Technology,6,192.5,OKC,94.5,25.50177096,0.437,0.158,0.341,0.078,0.18,0.086,0.033,0.03,0.006,0.022,SG
Anthony Tolliver,76,1433,482,161,393,41,106,290,36.6,54,69,78.3,51,185,236,59,24,16,51,137,519,1.16,0.47,,,,,,,,,,0.336,0.112,0.274,0.074,0.202,0.129,0.041,0.017,0.011,0.036,
Archie Goodwin,41,535,231,79,201,39.3,12,41,29.3,61,83,73.5,27,47,74,44,18,9,48,55,184,0.92,0.38,21,us,8/17/94,University of Kentucky,1,192.5,PHO,90,24.28740091,0.432,0.148,0.376,0.022,0.077,0.088,0.082,0.034,0.017,0.05,SG
Arinze Onuaku,6,68,27,12,14,85.7,0,0,0,3,8,37.5,7,14,21,4,1,3,2,6,47,2,0.5,28,us,7/13/87,Syracuse University,1,202.5,MIN,114.75,27.98353909,0.397,0.176,0.206,0,0,0.206,0.059,0.015,0.044,0.103,C
Aron Baynes,70,1122,461,185,327,56.6,1,4,25,90,104,86.5,109,209,318,35,16,22,65,162,631,0.54,0.25,29,nz,12/9/86,Washington State University,2,205,SAS,117,27.84057109,0.411,0.165,0.291,0.001,0.004,0.186,0.031,0.014,0.02,0.097,C
Arron Afflalo,78,2502,1035,375,884,42.4,118,333,35.4,167,198,84.3,27,220,247,129,41,7,116,167,803,1.11,0.35,30,us,10/15/85,"University of California, Los Angeles",7,192.5,POR,94.5,25.50177096,0.414,0.15,0.353,0.047,0.133,0.088,0.052,0.016,0.003,0.011,SG
Austin Daye,34,344,129,50,141,35.5,24,71,33.8,5,6,83.3,10,65,75,17,12,5,23,39,123,0.74,0.52,27,us,6/5/88,Gonzaga University,5,207.5,SAS,99,22.99317753,0.375,0.145,0.41,0.07,0.206,0.189,0.049,0.035,0.015,0.029,SF
Austin Rivers,76,1563,530,203,496,40.9,39,131,29.8,85,126,67.5,27,125,152,155,48,14,65,146,500,2.39,0.74,23,us,8/1/92,Duke University,2,190,NOH,90,24.93074792,0.339,0.13,0.317,0.025,0.084,0.08,0.099,0.031,0.009,0.017,SG
Avery Bradley,77,2428,1071,434,1013,42.8,124,352,35.2,79,100,79,46,195,241,135,82,15,109,177,835,1.24,0.75,25,us,11/26/90,University of Texas at Austin,4,185,BOS,81,23.66691015,0.441,0.179,0.417,0.051,0.145,0.08,0.056,0.034,0.006,0.019,SG
Ben Gordon,56,790,349,129,295,43.7,35,97,36.1,56,67,83.6,6,57,63,50,14,1,55,60,245,0.91,0.26,32,gb,4/4/83,University of Connecticut,10,187.5,ORL,90,25.6,0.442,0.163,0.373,0.044,0.123,0.072,0.063,0.018,0.001,0.008,SG
Ben McLemore,82,2670,996,363,831,43.7,140,391,35.8,130,160,81.3,31,210,241,140,77,19,138,219,837,1.01,0.56,22,us,2/11/93,University of Kansas,1,192.5,SAC,87.75,23.68021589,0.373,0.136,0.311,0.052,0.146,0.079,0.052,0.029,0.007,0.012,SG
Beno Udrih,79,1494,605,246,505,48.7,26,97,26.8,87,102,85.3,20,123,143,220,46,8,89,88,659,2.47,0.52,,,,,,,,,,0.405,0.165,0.338,0.017,0.065,0.082,0.147,0.031,0.005,0.013,
Bernard James,16,158,44,12,27,44.4,0,0,0,20,23,87,18,21,39,4,2,15,6,17,80,0.67,0.33,30,us,2/7/85,Florida State University,2,205,DAL,108,25.6989887,0.278,0.076,0.171,0,0,0.133,0.025,0.013,0.095,0.114,C
Bismack Biyombo,64,1243,304,101,186,54.3,0,0,0,102,175,58.3,159,248,407,16,18,99,52,140,634,0.31,0.35,23,cd,8/28/92,,3,202.5,CHA,114.75,27.98353909,0.245,0.081,0.15,0,0,0.2,0.013,0.014,0.08,0.128,C
Blake Griffin,67,2356,1469,574,1144,50.2,10,25,40,311,427,72.8,126,382,508,354,63,35,152,196,1591,2.33,0.41,26,us,3/16/89,University of Oklahoma,4,205,LAC,112.95,26.87685901,0.624,0.244,0.486,0.004,0.011,0.162,0.15,0.027,0.015,0.053,PF
Bojan Bogdanovic,78,1854,700,261,576,45.3,91,256,35.5,87,106,82.1,50,163,213,68,34,9,78,104,612,0.87,0.44,26,ba,4/18/89,,0,200,NJN,97.2,24.3,0.378,0.141,0.311,0.049,0.138,0.088,0.037,0.018,0.005,0.027,SF
Boris Diaw,81,1984,708,291,632,46,54,169,32,72,93,77.4,78,270,348,233,36,23,126,148,860,1.85,0.29,33,fr,4/16/82,,11,200,SAS,112.5,28.125,0.357,0.147,0.319,0.027,0.085,0.136,0.117,0.018,0.012,0.039,PF
Bradley Beal,63,2107,962,363,851,42.7,106,259,40.9,130,166,78.3,57,184,241,194,76,18,123,136,844,1.58,0.62,22,us,6/28/93,University of Florida,2,192.5,WAS,93.15,25.13745994,0.457,0.172,0.404,0.05,0.123,0.087,0.092,0.036,0.009,0.027,SG
Brandan Wright,75,1449,544,233,363,64.2,0,3,0,78,112,69.6,128,193,321,41,50,94,34,102,852,1.21,1.47,,,,,,,,,,0.375,0.161,0.251,0,0.002,0.133,0.028,0.035,0.065,0.088,
Brandon Bass,82,1929,866,344,683,50.4,9,32,28.1,169,214,79,139,259,398,104,41,32,83,140,974,1.25,0.49,30,us,4/30/85,Louisiana State University,9,200,BOS,112.5,28.125,0.449,0.178,0.354,0.005,0.017,0.134,0.054,0.021,0.017,0.072,PF
Brandon Davies,27,423,142,55,137,40.1,8,34,23.5,24,37,64.9,38,45,83,30,18,7,29,59,156,1.03,0.62,24,us,7/25/91,Brigham Young University,1,205,PHI,108,25.6989887,0.336,0.13,0.324,0.019,0.08,0.106,0.071,0.043,0.017,0.09,PF
Brandon Jennings,41,1173,632,218,543,40.1,76,211,36,120,143,83.9,21,83,104,272,44,4,90,64,618,3.02,0.49,26,us,9/23/89,,5,182.5,DET,76.5,22.96866204,0.539,0.186,0.463,0.065,0.18,0.071,0.232,0.038,0.003,0.018,PG
Brandon Knight,63,2035,1070,375,888,42.2,125,321,38.9,195,223,87.4,28,216,244,330,90,10,189,114,1014,1.75,0.48,24,us,12/2/91,University of Kentucky,3,187.5,PHO,85.05,24.192,0.526,0.184,0.436,0.061,0.158,0.106,0.162,0.044,0.005,0.014,SG
Brandon Rush,33,271,30,11,54,20.4,3,27,11.1,5,11,45.5,4,37,41,12,5,12,11,27,40,1.09,0.46,30,us,7/7/85,University of Kansas,6,195,GSW,99,26.03550296,0.111,0.041,0.199,0.011,0.1,0.137,0.044,0.018,0.044,0.015,SG
Brendan Haywood,22,119,35,14,30,46.7,0,0,0,7,13,53.8,6,23,29,2,2,10,10,17,46,0.2,0.2,36,us,11/27/79,University of North Carolina,12,210,CLE,120.6,27.34693878,0.294,0.118,0.252,0,0,0.193,0.017,0.017,0.084,0.05,C
Brian Roberts,72,1330,480,176,452,38.9,62,193,32.1,66,74,89.2,13,96,109,162,33,6,57,75,449,2.84,0.58,30,us,12/3/85,University of Dayton,2,182.5,CHA,77.85,23.37399137,0.361,0.132,0.34,0.047,0.145,0.072,0.122,0.025,0.005,0.01,PG
Brook Lopez,72,2100,1236,506,987,51.3,1,10,10,223,274,81.4,214,321,535,50,43,126,104,206,1354,0.48,0.41,27,us,4/1/88,Stanford University,6,210,NJN,123.75,28.06122449,0.589,0.241,0.47,0,0.005,0.153,0.024,0.02,0.06,0.102,C
Bruno Caboclo,8,23,10,4,12,33.3,2,3,66.7,0,0,0,1,1,2,0,0,1,4,3,1,0,0,20,br,9/21/95,,0,202.5,TOR,98.1,23.92318244,0.435,0.174,0.522,0.087,0.13,0.043,0,0,0.043,0.043,SF
Bryce Cotton,15,159,80,29,69,42,7,20,35,15,18,83.3,3,15,18,15,4,0,12,6,62,1.25,0.33,23,us,8/11/92,Providence College,0,182.5,UTA,74.25,22.29311315,0.503,0.182,0.434,0.044,0.126,0.094,0.094,0.025,0,0.019,PG
C.J. Watson,57,1422,570,181,417,43.4,70,175,40,138,167,82.6,18,145,163,208,57,9,100,107,642,2.08,0.57,31,us,4/17/84,University of Tennessee,7,185,IND,78.75,23.00949598,0.401,0.127,0.293,0.049,0.123,0.102,0.146,0.04,0.006,0.013,PG
Cameron Bairstow,18,64,10,3,14,21.4,0,0,0,4,5,80,6,2,8,1,2,1,3,8,7,0.33,0.67,25,au,12/7/90,University of New Mexico,0,202.5,CHI,112.5,27.43484225,0.156,0.047,0.219,0,0,0.031,0.016,0.031,0.016,0.094,PF
Carl Landry,70,1192,503,190,369,51.5,0,0,0,123,150,82,99,169,268,26,15,17,54,132,569,0.48,0.28,32,us,9/19/83,Purdue University,7,202.5,SAC,111.6,27.21536351,0.422,0.159,0.31,0,0,0.142,0.022,0.013,0.014,0.083,PF
Carlos Boozer,71,1692,836,371,743,49.9,0,0,0,94,150,62.7,111,371,482,95,41,12,92,184,946,1.03,0.45,34,de,11/20/81,Duke University,12,202.5,LAL,116.1,28.3127572,0.494,0.219,0.439,0,0,0.219,0.056,0.024,0.007,0.066,PF
Carmelo Anthony,40,1428,966,358,806,44.4,61,179,34.1,189,237,79.7,72,192,264,122,40,17,89,87,824,1.37,0.45,31,us,5/29/84,Syracuse University,11,200,NYK,108,27,0.676,0.251,0.564,0.043,0.125,0.134,0.085,0.028,0.012,0.05,SF
Caron Butler,78,1623,460,161,396,40.7,83,219,37.9,55,61,90.2,21,175,196,79,43,4,49,120,492,1.61,0.88,35,us,3/13/80,University of Connecticut,12,197.5,DET,102.6,26.30347701,0.283,0.099,0.244,0.051,0.135,0.108,0.049,0.026,0.002,0.013,SF
Cartier Martin,23,198,36,15,53,28.3,6,33,18.2,0,0,0,0,20,20,11,3,1,5,20,28,2.2,0.6,31,us,11/20/84,Kansas State University,6,197.5,DET,99,25.38054799,0.182,0.076,0.268,0.03,0.167,0.101,0.056,0.015,0.005,0,SF
Chandler Parsons,66,2186,1037,383,829,46.2,132,347,38,139,193,72,64,259,323,161,69,19,96,140,1013,1.68,0.72,27,us,10/25/88,University of Florida,3,205,DAL,103.5,24.6281975,0.474,0.175,0.379,0.06,0.159,0.118,0.074,0.032,0.009,0.029,SF
Channing Frye,75,1870,549,191,487,39.2,136,346,39.3,31,35,88.6,27,266,293,94,47,39,78,191,644,1.21,0.6,32,us,5/17/83,University of Arizona,8,207.5,ORL,114.75,26.65118305,0.294,0.102,0.26,0.073,0.185,0.142,0.05,0.025,0.021,0.014,PF
Charlie Villanueva,64,678,403,150,362,41.4,83,221,37.6,20,35,57.1,30,119,149,19,15,22,28,64,353,0.68,0.54,,,,,,,,,,0.594,0.221,0.534,0.122,0.326,0.176,0.028,0.022,0.032,0.044,
Chase Budinger,67,1286,457,169,390,43.3,52,143,36.4,67,81,82.7,33,165,198,64,44,10,49,72,489,1.31,0.9,27,us,5/22/88,University of Arizona,5,197.5,MIN,94.05,24.11152059,0.355,0.131,0.303,0.04,0.111,0.128,0.05,0.034,0.008,0.026,SF
Chris Andersen,60,1132,320,120,207,58,4,13,30.8,76,114,66.7,76,223,299,43,26,61,40,88,584,1.08,0.65,37,us,7/7/78,Blinn College,12,205,MIA,110.25,26.2343843,0.283,0.106,0.183,0.004,0.011,0.197,0.038,0.023,0.054,0.067,C
Chris Bosh,44,1556,928,343,745,46,63,168,37.5,179,232,77.2,46,264,310,95,41,25,95,69,849,1,0.43,31,us,3/24/84,Georgia Institute of Technology,11,207.5,MIA,105.75,24.56089418,0.596,0.22,0.479,0.04,0.108,0.17,0.061,0.026,0.016,0.03,C
Chris Copeland,50,828,309,112,310,36.1,52,167,31.1,33,45,73.3,23,88,111,51,11,11,59,78,224,0.86,0.19,31,us,3/17/84,University of Colorado,2,202.5,IND,107.55,26.22770919,0.373,0.135,0.374,0.063,0.202,0.106,0.062,0.013,0.013,0.028,SF
Chris Douglas-Roberts,12,103,19,5,21,23.8,1,7,14.3,8,8,100,1,11,12,4,1,0,0,14,20,0,0,28,us,1/8/87,University of Memphis,5,197.5,LAC,90,23.07322544,0.184,0.049,0.204,0.01,0.068,0.107,0.039,0.01,0,0.01,SG
Chris Johnson,29,527,166,62,154,40.3,28,95,29.5,14,16,87.5,8,47,55,15,26,7,15,44,160,1,1.73,25,us,4/29/90,University of Dayton,2,195,PHI,92.7,24.37869822,0.315,0.118,0.292,0.053,0.18,0.089,0.028,0.049,0.013,0.015,SF
Chris Kaman,74,1398,638,283,549,51.5,0,0,0,72,102,70.6,149,335,484,65,18,54,108,140,855,0.6,0.17,33,us,4/28/82,Central Michigan University,11,210,POR,119.25,27.04081633,0.456,0.202,0.393,0,0,0.24,0.046,0.013,0.039,0.107,C
Chris Paul,82,2857,1564,568,1170,48.5,139,349,39.8,289,321,90,52,324,376,838,156,15,190,203,2125,4.41,0.82,30,us,5/6/85,Wake Forest University,9,180,LAC,78.75,24.30555556,0.547,0.199,0.41,0.049,0.122,0.113,0.293,0.055,0.005,0.018,PG
Chuck Hayes,29,255,50,22,46,47.8,0,0,0,6,11,54.5,18,33,51,20,10,4,8,37,98,2.5,1.25,32,us,6/11/83,University of Kentucky,9,195,TOR,108,28.40236686,0.196,0.086,0.18,0,0,0.129,0.078,0.039,0.016,0.071,C
CJ McCollum,62,973,424,159,365,43.6,55,139,39.6,51,73,69.9,14,77,91,64,43,8,48,81,354,1.33,0.9,24,us,9/19/91,Lehigh University,1,190,POR,90,24.93074792,0.436,0.163,0.375,0.057,0.143,0.079,0.066,0.044,0.008,0.014,SG
CJ Miles,70,1841,942,329,827,39.8,154,446,34.5,130,161,80.7,18,196,214,75,60,26,73,132,715,1.03,0.82,28,us,4/18/87,,9,195,IND,101.25,26.62721893,0.512,0.179,0.449,0.084,0.242,0.106,0.041,0.033,0.014,0.01,SG
CJ Wilcox,21,101,41,16,38,42.1,7,19,36.8,2,2,100,1,6,7,8,3,1,10,7,28,0.8,0.3,,,,,,,,,,0.406,0.158,0.376,0.069,0.188,0.059,0.079,0.03,0.01,0.01,
Cleanthony Early,39,647,210,76,214,35.5,22,84,26.2,36,48,75,22,75,97,36,24,12,40,57,189,0.9,0.6,24,us,4/17/91,Wichita State University,0,200,NYK,94.5,23.625,0.325,0.117,0.331,0.034,0.13,0.116,0.056,0.037,0.019,0.034,SF
Clint Capela,12,90,32,14,29,48.3,0,0,0,4,23,17.4,10,26,36,2,1,9,5,14,41,0.4,0.2,21,ch,5/18/94,,0,205,HOU,108,25.6989887,0.356,0.156,0.322,0,0,0.289,0.022,0.011,0.1,0.111,C
Cody Zeller,62,1487,472,172,373,46.1,1,1,100,127,164,77.4,97,265,362,100,34,49,62,156,717,1.61,0.55,,,,,,,,,,0.317,0.116,0.251,0.001,0.001,0.178,0.067,0.023,0.033,0.065,
Cole Aldrich,61,976,338,144,301,47.8,0,0,0,50,64,78.1,101,237,338,75,37,65,59,122,623,1.27,0.63,27,us,10/31/88,University of Kansas,4,207.5,NYK,112.5,26.12861083,0.346,0.148,0.308,0,0,0.243,0.077,0.038,0.067,0.103,C
Corey Brewer,80,2087,917,343,805,42.6,63,235,26.8,168,226,74.3,80,217,297,173,114,19,131,173,869,1.32,0.87,29,us,3/5/86,University of Florida,7,202.5,MIN,83.7,20.41152263,0.439,0.164,0.386,0.03,0.113,0.104,0.083,0.055,0.009,0.038,SF
Cory Jefferson,50,531,183,75,167,44.9,2,15,13.3,31,54,57.4,47,98,145,16,10,21,20,61,240,0.8,0.5,25,us,12/26/90,Baylor University,0,202.5,NJN,98.1,23.92318244,0.345,0.141,0.315,0.004,0.028,0.185,0.03,0.019,0.04,0.089,PF
Cory Joseph,79,1444,535,207,411,50.4,16,44,36.4,105,143,73.4,44,148,192,188,46,17,67,105,669,2.81,0.69,24,ca,8/20/91,University of Texas at Austin,3,187.5,SAS,86.85,24.704,0.37,0.143,0.285,0.011,0.03,0.102,0.13,0.032,0.012,0.03,PG
Courtney Lee,77,2354,777,288,643,44.8,90,224,40.2,111,129,86,21,157,178,151,75,12,78,129,742,1.94,0.96,30,us,10/3/85,Western Kentucky University,6,192.5,MEM,90,24.28740091,0.33,0.122,0.273,0.038,0.095,0.067,0.064,0.032,0.005,0.009,SG
D.J. Augustin,82,1964,777,258,647,39.9,83,246,33.7,178,205,86.8,20,141,161,353,49,3,145,93,782,2.43,0.34,28,us,11/10/87,University of Texas at Austin,6,180,OKC,82.35,25.41666667,0.396,0.131,0.329,0.042,0.125,0.072,0.18,0.025,0.002,0.01,PG
Dahntay Jones,33,123,21,6,21,28.6,0,4,0,9,11,81.8,1,10,11,2,3,0,1,23,19,2,3,35,us,12/27/80,Duke University,10,195,LAC,101.25,26.62721893,0.171,0.049,0.171,0,0.033,0.081,0.016,0.024,0,0.008,SF
Damian Lillard,82,2925,1720,590,1360,43.4,196,572,34.3,344,398,86.4,49,329,378,507,97,21,222,164,1677,2.28,0.44,25,us,7/15/90,Weber State University,2,187.5,POR,87.75,24.96,0.588,0.202,0.465,0.067,0.196,0.112,0.173,0.033,0.007,0.017,PG
Damjan Rudez,68,1047,323,119,263,45.2,69,170,40.6,16,23,69.6,8,39,47,53,16,5,47,79,246,1.13,0.34,29,hr,6/17/86,,0,205,IND,102.6,24.41403926,0.309,0.114,0.251,0.066,0.162,0.037,0.051,0.015,0.005,0.008,SF
Danilo Gallinari,59,1426,734,228,568,40.1,107,301,35.5,171,191,89.5,31,187,218,83,47,20,57,94,685,1.46,0.83,27,it,8/8/88,,5,205,DEN,101.25,24.0928019,0.515,0.16,0.398,0.075,0.211,0.131,0.058,0.033,0.014,0.022,SF
Danny Granger,30,613,188,65,162,40.1,30,84,35.7,28,37,75.7,20,60,80,17,13,6,24,67,174,0.71,0.54,32,us,4/20/83,University of New Mexico,9,202.5,MIA,99.9,24.36213992,0.307,0.106,0.264,0.049,0.137,0.098,0.028,0.021,0.01,0.033,SF
Danny Green,81,2312,946,322,738,43.6,191,457,41.8,111,127,87.4,54,289,343,158,101,87,93,163,1110,1.7,1.09,28,us,6/22/87,University of North Carolina,5,195,SAS,96.75,25.44378698,0.409,0.139,0.319,0.083,0.198,0.125,0.068,0.044,0.038,0.023,SG
Dante Cunningham,66,1652,340,155,339,45.7,1,10,10,29,47,61.7,70,186,256,50,46,37,35,101,492,1.43,1.31,28,us,4/22/87,Villanova University,5,200,NOH,103.5,25.875,0.206,0.094,0.205,0.001,0.006,0.113,0.03,0.028,0.022,0.042,PF
Dante Exum,82,1817,393,145,416,34.9,83,264,31.4,20,32,62.5,27,104,131,198,41,14,118,147,376,1.68,0.35,20,au,7/13/95,,0,195,UTA,85.5,22.4852071,0.216,0.08,0.229,0.046,0.145,0.057,0.109,0.023,0.008,0.015,PG
Darius Miller,5,43,2,1,7,14.3,0,1,0,0,0,0,0,1,1,2,1,0,1,8,-1,2,1,25,us,3/21/90,University of Kentucky,2,200,NOH,105.75,26.4375,0.047,0.023,0.163,0,0.023,0.023,0.047,0.023,0,0,SF
